name,brand,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,water_per_100g,portion_name,portion_grams,source,external_id
Aceite de naranja,,8.47,0.1,1.77,0.11,0.52,97.2,,,INCMNSZ/CONABIO 2019 (fibra bruta),3073
Acelga,,20,2.6,2.96,0.34,0.9,91.2,,,INCMNSZ/CONABIO 2019 (fibra bruta),3495
Achiote,,266,14.2,55.54,3.96,13.8,8,,,INCMNSZ/CONABIO 2019 (fibra bruta),3498
Aguacate Hoja,,295.6,18.9,49.6,2.4,17.9,5,,,INCMNSZ/CONABIO 2019 (fibra bruta),3499
Ajo,,151,3.5,36.15,0.34,1.61,52.7,,,INCMNSZ/CONABIO 2019 (fibra bruta),2962
Ajo Deshidratado Y Molido,,304,14.33,60.24,0.66,7.49,8.37,,,INCMNSZ/CONABIO 2019 (fibra bruta),2966
"Ajo, fresco",,108.33,4.79,21.64,0.29,0.38,71.3,,,INCMNSZ/CONABIO 2019 (fibra bruta),2965
Ajonjoli Garapiñado,,547,16.4,31.7,39.4,7.45,1.2,,,INCMNSZ/CONABIO 2019 (fibra bruta),1740
Ajonjoli Grano,,551,20.6,13.29,50.91,6.3,4.1,,,INCMNSZ/CONABIO 2019 (fibra bruta),1741
Ajonjoli Grano,,529,19.05,10.92,50.05,9.42,4.65,,,INCMNSZ/CONABIO 2019 (fibra bruta),1743
Ajonjoli Harina,,337,44.8,35.2,2.2,61.6,4.6,,,INCMNSZ/CONABIO 2019,1745
Ajonjoli Harina Residual,,282.5,32.9,26.5,5.5,57.8,8.9,,,INCMNSZ/CONABIO 2019,1746
"Ajonjoli Harina, Semilla Descascarrillada",,313,44.25,31.34,3.87,5.2,7.68,,,INCMNSZ/CONABIO 2019 (fibra bruta),1747
Alcachofa,,14,3.29,1.42,0.1,3.45,82.62,,,INCMNSZ/CONABIO 2019 (fibra bruta),3500
Alelon Grano,,325,8.3,67.33,2.67,11.3,10.1,,,INCMNSZ/CONABIO 2019 (fibra bruta),1749
Alfalfa,,30,3.66,4.84,0.48,3.12,86.5,,,INCMNSZ/CONABIO 2019 (fibra bruta),3503
Alga Spirulina Maxima,,263,61.8,11.1,7.5,0,7.2,,,INCMNSZ/CONABIO 2019 (fibra bruta),10
Alga Spirulina Maxima,,365,63.9,14.7,5.6,2.1,7.9,,,INCMNSZ/CONABIO 2019 (fibra bruta),11
Alga spirulina máxima,,467,61.76,16.3,2.87,0,7.7,,,INCMNSZ/CONABIO 2019 (fibra bruta),12
Almendra,,539,24.46,23.38,42.92,2.7,3.54,,,INCMNSZ/CONABIO 2019 (fibra bruta),1751
Almendra Almendrón,,568,27.5,3.85,54.6,9.2,2.7,,,INCMNSZ/CONABIO 2019 (fibra bruta),1753
Aloe Vera Jugo,,6.5,0.1,0.4,0.5,0.1,98.5,,,INCMNSZ/CONABIO 2019 (fibra bruta),3074
"Alubia Fabada, Enlatada",,73,4,5.6,4.4,5.8,79.1,,,INCMNSZ/CONABIO 2019 (fibra bruta),2628
Alubia Harina,,325,19.4,58.62,2.78,6.6,7.7,,,INCMNSZ/CONABIO 2019 (fibra bruta),2635
Alubia Puré,,130,5.9,19,3.9,0.1,68.5,,,INCMNSZ/CONABIO 2019 (fibra bruta),2636
Amaranto Alegría,,359,7.2,76.5,3.8,2.5,8.4,,,INCMNSZ/CONABIO 2019 (fibra bruta),1754
Amaranto Barra Con Chocolate,,515,4.7,64.9,26.2,1.2,1.4,,,INCMNSZ/CONABIO 2019 (fibra bruta),1757
Amaranto Barra Energética,,494.62,9.95,52.37,27.26,2.87,5.4,,,INCMNSZ/CONABIO 2019 (fibra bruta),1758
Amaranto Barra Tipo Alegría,,395,8,80.8,3.68,1.58,4.65,,,INCMNSZ/CONABIO 2019 (fibra bruta),1759
Amaranto Barrita Con Chocolate,,389,5.1,84.3,3.3,1.9,4.3,,,INCMNSZ/CONABIO 2019 (fibra bruta),1760
Amaranto Barrita Con Chocolate Y Nuez,,398,9.6,69,10,4.6,5.5,,,INCMNSZ/CONABIO 2019 (fibra bruta),1761
Amaranto Cereal Con Miel Y Azúcar,,394,7.3,81.7,4.3,2.8,2.4,,,INCMNSZ/CONABIO 2019 (fibra bruta),1763
Amaranto Con Cacahuate Y Pepita,,468.4,12.8,62.9,18.4,0.7,3.7,,,INCMNSZ/CONABIO 2019 (fibra bruta),1765
Amaranto Con Chocolate,,437,7.7,73.2,12.6,3.4,1.8,,,INCMNSZ/CONABIO 2019 (fibra bruta),1766
Amaranto Con Chocolate,,514.11,5.44,64.52,26.03,1.43,1,,,INCMNSZ/CONABIO 2019 (fibra bruta),1767
Amaranto Con Moka,,366.13,14.52,68.44,3.81,2.31,8.78,,,INCMNSZ/CONABIO 2019 (fibra bruta),1768
Amaranto con Palomitas de Maíz,,425.37,5.8,75.23,11.25,1.23,5.2,,,INCMNSZ/CONABIO 2019 (fibra bruta),1769
"Amaranto En Dulce, Barra",,388,7.8,78.4,4.8,1.6,6,,,INCMNSZ/CONABIO 2019 (fibra bruta),1770
Amaranto Enriquecido Con Miel De Abeja,,399,8.1,80.4,5,3.7,1.6,,,INCMNSZ/CONABIO 2019 (fibra bruta),1771
Amaranto Galleta,,486.65,7.76,66.36,21.13,0.22,3.1,,,INCMNSZ/CONABIO 2019 (fibra bruta),1773
Amaranto Grano,,360,13,65,6,4,10,,,INCMNSZ/CONABIO 2019 (fibra bruta),1774
Amaranto Grano,,372,14.1,67.2,6,2.9,7.1,,,INCMNSZ/CONABIO 2019 (fibra bruta),1775
Amaranto Grano,,366.91,13.05,64.3,6.39,2.98,9.9,,,INCMNSZ/CONABIO 2019 (fibra bruta),1778
Amaranto Granola,,530.83,14.27,55.93,23.53,1.18,3.1,,,INCMNSZ/CONABIO 2019 (fibra bruta),1780
Amaranto Harina,,380.57,14.55,65.54,6.69,5.17,3.7,,,INCMNSZ/CONABIO 2019 (fibra bruta),1782
