name,brand,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,water_per_100g,portion_name,portion_grams,source,external_id
Pasta de trigo fresca,,288,11.2,54.8,2.4,0,0,,,SMAE 2014,SMAE2014:CEREALES_SIN_GRASA:313
Pasta fresca,,288,11.2,54.8,2.4,0,0,,,SMAE 2014,SMAE2014:CEREALES_SIN_GRASA:314
Pasta hojaldrada,,540,5.5,38,41,1.5,0,,,SMAE 2014,SMAE2014:CEREALES_CON_GRASA:152
Pasta integral cocida,,123.913,5.4348,26.7391,0.6522,4.5652,0,taza,138,SMAE 2014,SMAE2014:CEREALES_SIN_GRASA:315
Pasta integral cruda,,325,13.5,72.5,0.5,2,0,,,SMAE 2014,SMAE2014:CEREALES_SIN_GRASA:316
Pasta quebrada,,385.7143,3.9286,27.1429,29.2857,1.0714,0,,,SMAE 2014,SMAE2014:CEREALES_CON_GRASA:153
Pasta tornillo,,380,12.6667,73.3333,4,0,0,taza,45,SMAE 2014,SMAE2014:CEREALES_SIN_GRASA:317
Pastel de chocolate,,371.4286,5.3571,52.8571,15,1.4286,0,rebanada,28,SMAE 2014,SMAE2014:CEREALES_CON_GRASA:154
Pastel de frutas,,325,2.8571,61.7857,8.9286,3.5714,0,rebanada,28,SMAE 2014,SMAE2014:CEREALES_CON_GRASA:155
Pastel de pavo,,328.125,12.1875,1.875,30,0,0,rebanada,21.33,SMAE 2014,SMAE2014:A_O_A_ALTO_EN_GRASA:57
Pastel de piña,,317.8571,3.5714,50.3571,12.1429,0,0,rebanada,28,SMAE 2014,SMAE2014:CEREALES_CON_GRASA:156
Pastel de puerco,,328.125,12.1875,1.875,30,0,0,rebanada,21.33,SMAE 2014,SMAE2014:A_O_A_ALTO_EN_GRASA:59
Pastel de ternera,,265,10,7.25,21.75,0,0,,,SMAE 2014,SMAE2014:A_O_A_ALTO_EN_GRASA:60
Pastel de zanahoria con cubierta de queso crema,,400,3.9286,52.1429,20.3571,1.0714,0,rebanada,56,SMAE 2014,SMAE2014:CEREALES_CON_GRASA:157
"Pasteles, tartas y crepas con fruta",,308.3333,0,54.1667,8.3333,0,0,rebanada,60,SMAE 2014,SMAE2014:PLATILLOS_POSTRES:30
Pastelito con relleno cremoso y mermelada,,392,4.4,59.2,15.6,2.8,0,pieza,50,SMAE 2014,SMAE2014:CEREALES_CON_GRASA:158
Pastelito de chocolate con relleno cremoso,,363.3333,4.3333,62.3333,10.6667,2,0,pieza,30,SMAE 2014,SMAE2014:CEREALES_CON_GRASA:159
Pastitas de mantequilla,,560,5.3333,64,31.3333,0,0,pieza,7.5,SMAE 2014,SMAE2014:CEREALES_CON_GRASA:160
Pastrami de pavo,,140.4762,18.3333,1.6667,6.1905,0,0,rebanada,21,SMAE 2014,SMAE2014:A_O_A_BAJO_EN_GRASA:96
Pata de carnera cocida,,108.5714,21.1429,0,21.1429,0,0,,,SMAE 2014,SMAE2014:A_O_A_ALTO_EN_GRASA:61
Pata de cerdo cocidas,,139.2157,11.5686,0,10,0,0,,,SMAE 2014,SMAE2014:A_O_A_MODERADOS_EN_GRASA:40
Pata de res,,80,12.1818,0,2.9091,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:168
Patas de cerdo en escabeche,,139.2157,11.5686,0,10,0,0,,,SMAE 2014,SMAE2014:A_O_A_MODERADOS_EN_GRASA:41
Paté,,313.6364,14.0909,1.3636,27.7273,0,0,cucharadita,4.4,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:176
Paté,,313.6364,14.0909,1.3636,27.7273,0,0,cucharadita,4.4,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:73
Paté de cerdo,,469.2308,11.5385,4.6154,44.6154,0,0,cucharada,13,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:177
Paté de cerdo,,469.2308,11.5385,4.6154,44.6154,0,0,cucharada,13,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:74
Paté de Foie gras,,461.5385,11.5385,4.6154,43.8462,0,0,cucharada,13,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:178
Paté de Foie gras,,461.5385,11.5385,4.6154,43.8462,0,0,cucharada,13,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:75
Paté de ganso,,469.2308,11.5385,4.6154,44.6154,0,0,cucharada,13,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:179
Paté de ganso,,469.2308,11.5385,4.6154,44.6154,0,0,cucharada,13,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:76
Paté de higado de cerdo,,469.2308,11.5385,4.6154,44.6154,0,0,cucharada,13,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:180
Paté de higado de cerdo,,469.2308,11.5385,4.6154,44.6154,0,0,cucharada,13,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:77
Paté de hígado de ternera,,469.2308,11.5385,4.6154,44.6154,0,0,cucharada,13,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:181
Paté de hígado de ternera,,469.2308,11.5385,4.6154,44.6154,0,0,cucharada,13,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:78
Paté de pollo,,202.8571,13.4286,6.8571,13.1429,0,0,cucharadita,4.38,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:182
Paté de pollo,,202.8571,13.4286,6.8571,13.1429,0,0,cucharadita,4.38,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:79
Paté de ternera,,469.2308,11.5385,4.6154,44.6154,0,0,cucharada,13,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:183
Paté de ternera,,469.2308,11.5385,4.6154,44.6154,0,0,cucharada,13,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:80
Patel de pollo,,265,10,7.25,21.75,0,0,,,SMAE 2014,SMAE2014:A_O_A_ALTO_EN_GRASA:58
Patitas de cerdo encurtidas sin hueso,,139.2157,11.5686,0,10,0,0,,,SMAE 2014,SMAE2014:A_O_A_MODERADOS_EN_GRASA:42
Pato de crianza,,130.7692,18.2051,0,5.8974,0,0,,,SMAE 2014,SMAE2014:A_O_A_BAJO_EN_GRASA:97
Pavo,,158.3333,20.2778,0,7.7778,0,0,,,SMAE 2014,SMAE2014:A_O_A_BAJO_EN_GRASA:98
Pavo entero,,158.3333,20.2778,0,7.7778,0,0,,,SMAE 2014,SMAE2014:A_O_A_BAJO_EN_GRASA:99
Pay de calabaza,,242.2222,4,34.8889,9.7778,1.7778,0,rebanada,45,SMAE 2014,SMAE2014:CEREALES_CON_GRASA:161
Pay de chocolate,,303.3333,2.6667,33.6667,19.3333,2,0,rebanada,30,SMAE 2014,SMAE2014:CEREALES_CON_GRASA:162
Pay de limón con merengue,,268.5714,1.4286,47.1429,8.5714,1.1429,0,rebanada,35,SMAE 2014,SMAE2014:CEREALES_CON_GRASA:163
Pay de manzana,,237.5,2,34,11,1.5,0,rebanada,40,SMAE 2014,SMAE2014:CEREALES_CON_GRASA:164
Pay de nuez,,443.4783,6.5217,60.4348,19.5652,0.8696,0,pieza,69,SMAE 2014,SMAE2014:CEREALES_CON_GRASA:165
Pay de piña,,385.7143,3.5714,53.9286,17.5,0.3571,0,pieza,84,SMAE 2014,SMAE2014:CEREALES_CON_GRASA:166
Pay de queso,,320,5.4286,25.4286,22.5714,0,0,rebanada,35,SMAE 2014,SMAE2014:CEREALES_CON_GRASA:167
Pay helado de limón,,272.5,2.25,32.5,15.25,1.5,0,rebanada,40,SMAE 2014,SMAE2014:CEREALES_CON_GRASA:168
Pecho de res,,205.4054,17.2973,0,14.5946,0,0,,,SMAE 2014,SMAE2014:A_O_A_MODERADOS_EN_GRASA:43
Pechuda de pollo sin pile aplanada,,160,29,0,4,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:172
